Itemset,Frequency
"salt, shortening",17
"fillets, paprika",23
"fillets, parsley",28
"fillets, seasoning",10
"paprika, seasoning",20
"paprika, weed",13
"parsley, weed",22
"seasoning, weed",4
"avocado, cabbage",4
"avocado, cilantro",51
"avocado, fillets",6
"avocado, juice",46
"avocado, onions",16
"avocado, paprika",10
"avocado, sauce",31
"avocado, spray",10
"avocado, tomato",26
"avocado, tortillas",18
"avocado, yogurt",3
"cabbage, cheese",24
"cabbage, cilantro",39
"cabbage, fillets",6
"cabbage, juice",32
"cabbage, paprika",14
"cabbage, spray",8
"cabbage, tomato",33
"cabbage, yogurt",5
"cheese, cilantro",81
"cheese, tomato",184
"cheese, yogurt",20
"cilantro, sauce",139
"cilantro, tortillas",58
"fillets, onions",15
"fillets, sauce",26
"fillets, spray",22
"fillets, tortillas",13
"fillets, yogurt",3
"onions, spray",30
"onions, tortillas",20
"paprika, tortillas",11
"paprika, yogurt",9
"sauce, yogurt",10
"spray, tortillas",24
"spray, yogurt",10
"tomato, tortillas",17
"tomato, yogurt",6
"tortillas, yogurt",5
"bouillon, carrots",65
"bouillon, celery",65
"bouillon, chunks",9
"bouillon, cilantro",16
"bouillon, flakes",15
"bouillon, juice",20
"bouillon, oil",83
"bouillon, sherry",4
"bouillon, shrimp",5
"bouillon, tomatoes",44
"carrots, chunks",38
"carrots, cilantro",44
"carrots, sherry",9
"carrots, shrimp",29
"celery, chunks",37
"celery, cilantro",41
"celery, flakes",50
"celery, sherry",12
"celery, shrimp",70
"celery, tomatoes",181
"chunks, flakes",21
"chunks, sherry",5
"chunks, shrimp",19
"chunks, tomatoes",42
"chunks, wine",18
"cilantro, flakes",45
"cilantro, sherry",3
"cilantro, shrimp",58
"cloves, sherry",20
"cloves, shrimp",129
"flakes, sherry",7
"flakes, shrimp",73
"flakes, tomatoes",125
"flakes, water",151
"flakes, wine",69
"juice, sherry",14
"juice, shrimp",121
"oil, shrimp",295
"onion, sherry",33
"onion, shrimp",195
"pepper, sherry",70
"pepper, shrimp",324
"sherry, shrimp",10
"sherry, tomatoes",2
"sherry, water",12
"sherry, wine",7
"shrimp, tomatoes",93
"shrimp, water",94
"shrimp, wine",81
"tomatoes, wine",97
"crumbs, tails",4
"eggs, tails",4
"flour, tails",13
"frying, tails",1
"pepper, tails",38
"salt, tails",16
"butter, lemon",64
"butter, shrimp",163
"cloves, lemon",71
"cloves, pasta",140
"flakes, lemon",31
"flakes, pasta",81
"flakes, shallots",9
"leaves, lemon",35
"leaves, pasta",43
"leaves, shallots",24
"leaves, shrimp",37
"lemon, pasta",30
"lemon, shallots",7
"lemon, shrimp",34
"lemon, wine",35
"pasta, shallots",7
"pasta, shrimp",73
"pasta, wine",65
"shallots, shrimp",6
"cornstarch, mayonnaise",5
"cornstarch, shrimp",38
"mayonnaise, shrimp",32
"sauce, shrimp",122
"bacon, broth",77
"bacon, cheese",190
"bacon, garlic",76
"bacon, grits",2
"bacon, half",26
"bacon, lemon",8
"bacon, sauce",62
"bacon, shrimp",19
"bacon, slices",6
"bacon, water",86
"broth, cheese",305
"broth, grits",4
"broth, half",58
"broth, shrimp",78
"broth, slices",27
"butter, grits",9
"butter, slices",42
"cheese, garlic",465
"cheese, grits",11
"cheese, half",82
"cheese, lemon",54
"cheese, shrimp",112
"cheese, slices",46
"flour, grits",1
"flour, shrimp",55
"flour, slices",22
"garlic, grits",4
"garlic, half",36
"garlic, shrimp",131
"grits, half",3
"grits, lemon",2
"grits, onion",5
"grits, pepper",9
"grits, salt",9
"grits, sauce",5
"grits, shrimp",6
"grits, slices",1
"grits, water",8
"half, salt",77
"half, sauce",40
"half, shrimp",17
"half, slices",2
"lemon, slices",4
"lemon, water",49
"salt, shrimp",188
"sauce, slices",24
"shrimp, slices",13
"juice, lemon",23
"paprika, shrimp",34
"butter, tomato",73
"butter, tomatoes",147
"celery, tabasco",10
"celery, tomato",70
"cloves, tabasco",8
"cornstarch, seasoning",9
"cornstarch, tabasco",1
"cornstarch, tomato",10
"sauce, tabasco",10
"sauce, tomatoes",138
"seasoning, shrimp",35
"seasoning, tabasco",3
"seasoning, tomato",38
"shrimp, tabasco",4
"shrimp, thyme",29
"shrimp, tomato",26
"tabasco, thyme",5
"tabasco, tomato",7
"tabasco, tomatoes",12
"tabasco, water",10
"thyme, tomato",35
"tomato, tomatoes",146
"beer, coconut",1
"beer, tails",1
"coconut, egg",3
"coconut, flour",17
"coconut, tails",4
"egg, tails",3
"oil, tails",27
"garlic, pound",2
"juice, pound",3
"leaves, pound",3
"leaves, seasoning",31
"oil, pound",9
"paprika, pound",1
"pepper, pound",9
"pound, seasoning",3
"pound, sugar",4
"avocados, celery",4
"avocados, clamato",1
"avocados, cucumber",3
"avocados, heinz",1
"avocados, juice",27
"avocados, leaves",4
"avocados, onion",36
"avocados, pepper",51
"avocados, salt",33
"avocados, tails",1
"avocados, tomatoes",30
"avocados, valentina",1
"celery, clamato",2
"celery, cucumber",18
"celery, heinz",2
"celery, leaves",108
"celery, tails",3
"celery, valentina",1
"clamato, cucumber",1
"clamato, heinz",1
"clamato, juice",1
"clamato, leaves",1
"clamato, onion",1
"clamato, pepper",2
"clamato, salt",2
"clamato, tails",1
"clamato, tomatoes",2
"clamato, valentina",1
"cucumber, heinz",1
"cucumber, juice",39
"cucumber, leaves",14
"cucumber, onion",84
"cucumber, pepper",105
"cucumber, salt",62
"cucumber, tails",2
"cucumber, tomatoes",51
"cucumber, valentina",1
"heinz, juice",3
"heinz, leaves",1
"heinz, onion",2
"heinz, pepper",4
"heinz, salt",2
"heinz, tails",1
"heinz, tomatoes",1
"heinz, valentina",1
"juice, tails",14
"juice, valentina",2
"leaves, tails",4
"leaves, valentina",1
"onion, tails",16
"onion, valentina",1
"pepper, valentina",2
"salt, valentina",2
"tails, tomatoes",5
"tails, valentina",1
"tomatoes, valentina",1
"back, bay",1
"back, butter",1
"back, chunks",1
"back, cloves",1
"back, lemon",1
"back, oil",1
"back, paprika",1
"back, pepper",1
"back, rosemary",1
"back, sauce",1
"back, stock",1
"back, worcestershire",1
"bay, butter",23
"bay, lemon",3
"bay, paprika",5
"bay, rosemary",1
"bay, stock",4
"bay, worcestershire",7
"butter, rosemary",35
"butter, worcestershire",47
"chunks, lemon",9
"chunks, rosemary",9
"chunks, worcestershire",8
"cloves, worcestershire",32
"lemon, rosemary",9
"lemon, stock",12
"lemon, worcestershire",3
"oil, worcestershire",63
"paprika, rosemary",10
"paprika, stock",43
"rosemary, sauce",20
"rosemary, stock",16
"rosemary, worcestershire",2
"sauce, stock",72
"stock, worcestershire",9
"cornstarch, honey",23
"cornstarch, zest",9
"garlic, zest",31
"honey, shrimp",11
"salt, zest",113
"shrimp, zest",16
"paprika, tails",2
"brine, butter",2
"brine, cloves",4
"brine, flakes",1
"brine, juice",2
"brine, oil",6
"brine, parsley",1
"brine, salt",7
"brine, shrimp",2
"brine, water",6
"flakes, parsley",122
"parsley, shrimp",107
"butter, salad",4
"butter, skewers",3
"butter, tails",17
"honey, salad",2
"honey, skewers",3
"honey, tails",1
"honey, worcestershire",9
"pepper, salad",38
"pepper, skewers",17
"salad, sauce",8
"salad, skewers",1
"salad, tails",1
"salad, wine",2
"salad, worcestershire",2
"sauce, skewers",14
"sauce, tails",9
"skewers, tails",2
"skewers, wine",1
"skewers, worcestershire",2
"tails, wine",6
"tails, worcestershire",1
"wine, worcestershire",14
"broth, capers",7
"broth, pasta",102
"broth, peppers",113
"broth, seasoning",83
"butter, capers",13
"butter, peppers",56
"capers, cornstarch",3
"capers, cream",8
"capers, mushrooms",5
"capers, oil",29
"capers, pasta",8
"capers, peppers",9
"capers, seasoning",4
"capers, shallots",1
"capers, shrimp",3
"cornstarch, pasta",8
"cornstarch, peppers",16
"cornstarch, shallots",6
"cream, pasta",96
"cream, seasoning",41
"cream, shrimp",46
"mushrooms, pasta",98
"mushrooms, peppers",38
"mushrooms, shallots",21
"mushrooms, shrimp",55
"pasta, peppers",26
"pasta, seasoning",43
"peppers, shallots",5
"peppers, shrimp",25
"seasoning, shallots",1
"garlic, horseradish",7
"garlic, lime",33
"garlic, mayonnaise",41
"garlic, relish",3
"horseradish, lime",1
"horseradish, mayonnaise",12
"horseradish, relish",2
"lime, mayonnaise",10
"lime, pepper",98
"lime, relish",1
"mayonnaise, relish",35
"pepper, relish",34
"avocado, crackers",1
"avocado, ketchup",4
"avocado, shrimp",17
"avocado, tomatoes",38
"cilantro, crackers",1
"cilantro, ketchup",10
"crackers, juice",5
"crackers, ketchup",2
"crackers, onion",21
"crackers, sauce",4
"crackers, shrimp",4
"crackers, tomatoes",2
"juice, ketchup",35
"ketchup, onion",104
"ketchup, pepper",112
"ketchup, shrimp",10
"ketchup, tomatoes",19
"leaves, skewers",3
"oil, skewers",20
"parsley, skewers",5
"parsley, thyme",139
"parsley, zest",36
"salt, skewers",12
"shrimp, skewers",7
"skewers, thyme",2
"skewers, zest",1
"flakes, marzano",5
"leaves, marzano",2
"marzano, oil",7
"marzano, onion",6
"marzano, parsley",4
"marzano, salt",4
"marzano, shrimp",2
"marzano, wine",5
"lemon, parsley",68
"lemon, paste",9
"lemon, skewers",3
"lemon, tails",3
"parsley, paste",34
"parsley, tails",12
"paste, sauce",96
"paste, skewers",3
"paste, tails",2
"blend, lime",4
"blend, onion",50
"blend, shrimp",7
"cumin, lime",36
"cumin, shrimp",18
"lime, oil",84
"lime, onion",65
"lime, salt",65
"lime, shrimp",13
"lime, tortillas",15
"shrimp, tortillas",15
"basil, shrimp",58
"basil, skewers",2
"shrimp, vinegar",35
"skewers, vinegar",9
"champagne, cheese",1
"champagne, cream",1
"champagne, mushrooms",1
"champagne, oil",1
"champagne, parsley",2
"champagne, pasta",1
"champagne, pepper",2
"champagne, salt",2
"champagne, shallots",1
"champagne, shrimp",1
"champagne, tomatoes",1
"cheese, shallots",19
"cheese, tomatoes",373
"cream, tomatoes",92
"parsley, shallots",16
"parsley, tomatoes",189
"pasta, salt",199
"pasta, tomatoes",162
"shallots, tomatoes",11
"cloves, lamb",26
"cloves, mint",14
"cloves, molasses",7
"cloves, pomegranate",1
"cloves, twine",5
"cumin, lamb",29
"cumin, mint",12
"cumin, molasses",6
"cumin, pomegranate",1
"cumin, rosemary",4
"cumin, twine",3
"lamb, mint",20
"lamb, molasses",2
"lamb, pepper",81
"lamb, pomegranate",1
"lamb, rosemary",14
"lamb, salt",69
"lamb, twine",2
"mint, molasses",2
"mint, pepper",66
"mint, pomegranate",1
"mint, rosemary",4
"mint, salt",45
"mint, twine",1
"molasses, pepper",11
"molasses, pomegranate",1
"molasses, rosemary",1
"molasses, salt",12
"molasses, twine",1
"pepper, pomegranate",3
"pepper, twine",11
"pomegranate, rosemary",1
"pomegranate, salt",2
"pomegranate, twine",1
"rosemary, twine",5
"salt, twine",10
"broth, rosemary",28
"broth, shanks",8
"cloves, rounds",10
"cloves, shanks",10
"juice, rosemary",13
"juice, rounds",7
"juice, shanks",1
"oil, shanks",14
"onions, rosemary",9
"onions, shanks",3
"pepper, shanks",14
"rosemary, rounds",2
"rosemary, shanks",5
"rosemary, wine",22
"rounds, shanks",1
"rounds, thyme",6
"rounds, wine",6
"shanks, thyme",6
"shanks, wine",8
"thyme, wine",89
"crumbs, garlic",96
"crumbs, lamb",15
"crumbs, mustard",55
"crumbs, rosemary",8
"garlic, lamb",29
"garlic, rosemary",34
"lamb, mustard",11
"lamb, oil",44
"mustard, rosemary",16
"broth, cardamom",7
"broth, cinnamon",52
"broth, honey",29
"broth, paste",59
"broth, saffron",10
"cardamom, cinnamon",17
"cardamom, cloves",19
"cardamom, coriander",15
"cardamom, cornstarch",1
"cardamom, cubes",3
"cardamom, cumin",18
"cardamom, ginger",13
"cardamom, honey",2
"cardamom, lemon",1
"cardamom, oil",24
"cardamom, paprika",8
"cardamom, paste",4
"cardamom, pepper",29
"cardamom, saffron",3
"cardamom, salt",26
"cardamom, strips",2
"cardamom, turmeric",16
"cardamom, water",11
"cinnamon, coriander",43
"cinnamon, cornstarch",13
"cinnamon, honey",33
"cinnamon, lemon",14
"cinnamon, paprika",33
"cinnamon, paste",19
"cinnamon, saffron",5
"cinnamon, strips",5
"cinnamon, turmeric",29
"cloves, saffron",12
"coriander, cornstarch",6
"coriander, cubes",11
"coriander, ginger",36
"coriander, honey",10
"coriander, lemon",9
"coriander, paprika",35
"coriander, saffron",1
"coriander, strips",4
"cornstarch, lemon",3
"cornstarch, paprika",23
"cornstarch, saffron",1
"cornstarch, turmeric",5
"cubes, honey",15
"cubes, lemon",17
"cubes, paste",18
"cubes, saffron",2
"cubes, strips",10
"cumin, lemon",19
"cumin, saffron",4
"cumin, strips",19
"ginger, paste",34
"ginger, saffron",3
"ginger, strips",27
"ginger, turmeric",53
"honey, lemon",10
"honey, paprika",15
"honey, paste",10
"honey, saffron",2
"honey, strips",10
"honey, turmeric",8
"honey, water",59
"lemon, saffron",3
"lemon, strips",4
"lemon, turmeric",10
"oil, saffron",19
"paprika, saffron",6
"paprika, strips",17
"paste, saffron",2
"paste, strips",21
"pepper, saffron",18
"saffron, salt",15
"saffron, strips",1
"saffron, turmeric",6
"saffron, water",9
"strips, turmeric",4
"strips, water",73
"almonds, basil",5
"almonds, butter",33
"almonds, coriander",6
"almonds, currants",2
"almonds, figs",2
"almonds, honey",5
"almonds, lamb",2
"almonds, liqueur",4
"almonds, mint",1
"almonds, prunes",1
"almonds, rosemary",1
"almonds, thirds",1
"almonds, thyme",3
"almonds, vinegar",25
"basil, coriander",8
"basil, currants",2
"basil, figs",2
"basil, honey",16
"basil, lamb",7
"basil, liqueur",1
"basil, mint",18
"basil, prunes",1
"basil, rosemary",13
"basil, thirds",2
"butter, coriander",21
"butter, currants",3
"butter, figs",1
"butter, lamb",16
"butter, liqueur",11
"butter, mint",5
"butter, prunes",3
"butter, thirds",9
"coriander, currants",2
"coriander, figs",1
"coriander, lamb",11
"coriander, liqueur",1
"coriander, mint",6
"coriander, prunes",1
"coriander, rosemary",2
"coriander, thirds",1
"coriander, thyme",6
"coriander, vinegar",20
"currants, figs",1
"currants, honey",2
"currants, lamb",4
"currants, liqueur",1
"currants, mint",3
"currants, oil",7
"currants, pepper",7
"currants, prunes",2
"currants, rosemary",1
"currants, salt",7
"currants, thirds",1
"currants, thyme",1
"currants, vinegar",2
"figs, honey",1
"figs, lamb",1
"figs, liqueur",2
"figs, mint",2
"figs, oil",2
"figs, pepper",2
"figs, prunes",1
"figs, rosemary",1
"figs, salt",1
"figs, thirds",1
"figs, thyme",1
"figs, vinegar",2
"honey, lamb",7
"honey, liqueur",1
"honey, mint",5
"honey, prunes",3
"honey, rosemary",6
"honey, thirds",2
"honey, thyme",15
"lamb, liqueur",1
"lamb, prunes",1
"lamb, thirds",1
"lamb, thyme",11
"lamb, vinegar",8
"liqueur, mint",2
"liqueur, oil",4
"liqueur, pepper",4
"liqueur, prunes",1
"liqueur, rosemary",1
"liqueur, salt",5
"liqueur, thirds",1
"liqueur, thyme",3
"liqueur, vinegar",1
"mint, oil",56
"mint, prunes",1
"mint, thirds",1
"mint, thyme",4
"mint, vinegar",18
"oil, prunes",5
"oil, thirds",10
"pepper, prunes",4
"pepper, thirds",12
"prunes, rosemary",1
"prunes, salt",6
"prunes, thirds",1
"prunes, thyme",1
"prunes, vinegar",1
"rosemary, thirds",1
"salt, thirds",11
"thirds, thyme",3
"thirds, vinegar",4
"chops, cilantro",8
"chops, wedges",5
"cilantro, wedges",40
"cloves, wedges",39
"juice, wedges",37
"oil, wedges",125
"pepper, wedges",128
"sauce, wedges",36
"sugar, wedges",42
"butter, nuts",13
"butter, provence",10
"crumbs, nuts",9
"crumbs, provence",3
"lamb, nuts",7
"lamb, provence",1
"mustard, nuts",4
"mustard, provence",2
"nuts, oil",52
"nuts, pepper",42
"nuts, provence",1
"oil, provence",19
"pepper, provence",26
"bacon, leaves",24
"bacon, shoulder",3
"bacon, size",14
"bacon, wine",28
"carrots, shoulder",5
"carrots, size",14
"flour, shoulder",4
"flour, size",13
"leaves, size",19
"potatoes, size",7
"salt, size",44
"shoulder, size",1
"shoulder, water",19
"shoulder, wine",9
"size, stock",10
"size, sugar",40
"size, thyme",9
"size, wine",9
"stock, wine",74
"chops, cornstarch",12
"chops, rosemary",10
"cornstarch, rosemary",6
"rosemary, water",23
"lamb, zest",6
"mustard, zest",13
"rosemary, zest",4
"basil, chops",12
"basil, shallots",6
"chops, shallots",3
"almonds, broth",20
"almonds, cabbage",6
"almonds, cheese",24
"almonds, leaves",3
"almonds, onion",39
"almonds, parsley",14
"almonds, puree",1
"almonds, rice",23
"broth, cabbage",56
"broth, currants",2
"broth, lamb",10
"broth, puree",7
"butter, cabbage",55
"butter, rice",187
"cabbage, cinnamon",5
"cabbage, cumin",19
"cabbage, currants",1
"cabbage, garlic",53
"cabbage, lamb",1
"cabbage, leaves",18
"cabbage, parsley",19
"cabbage, puree",2
"cabbage, rice",29
"cheese, cinnamon",37
"cheese, cumin",102
"cheese, currants",1
"cheese, lamb",23
"cheese, leaves",113
"cheese, puree",8
"cheese, rice",180
"cinnamon, currants",5
"cinnamon, garlic",44
"cinnamon, lamb",22
"cinnamon, leaves",17
"cinnamon, onion",134
"cinnamon, parsley",28
"cinnamon, puree",10
"cinnamon, rice",21
"cumin, currants",4
"cumin, parsley",55
"currants, garlic",2
"currants, leaves",1
"currants, onion",4
"currants, parsley",2
"currants, puree",1
"currants, rice",5
"garlic, puree",7
"lamb, leaves",13
"lamb, onion",42
"lamb, parsley",20
"lamb, puree",2
"lamb, rice",9
"leaves, puree",3
"parsley, puree",6
"parsley, rice",93
"puree, rice",2
"puree, salt",22
"broth, crumbs",31
"broth, egg",42
"broth, eggplant",4
"broth, flakes",115
"broth, marinara",3
"broth, mint",8
"broth, yogurt",18
"cinnamon, crumbs",9
"cinnamon, eggplant",2
"cinnamon, flakes",21
"cinnamon, marinara",1
"cinnamon, mint",10
"cinnamon, yogurt",17
"cloves, crumbs",72
"cloves, marinara",9
"cloves, yogurt",24
"coriander, crumbs",3
"coriander, egg",4
"coriander, eggplant",2
"coriander, marinara",1
"crumbs, eggplant",3
"crumbs, flakes",30
"crumbs, marinara",7
"crumbs, mint",7
"crumbs, yogurt",3
"cumin, egg",21
"cumin, eggplant",3
"cumin, marinara",1
"egg, eggplant",2
"egg, lamb",15
"egg, marinara",4
"egg, mint",8
"egg, yogurt",2
"eggplant, flakes",1
"eggplant, lamb",1
"eggplant, marinara",1
"eggplant, mint",2
"eggplant, onion",11
"eggplant, salt",5
"eggplant, yogurt",1
"flakes, lamb",10
"flakes, marinara",9
"flakes, mint",10
"lamb, marinara",1
"lamb, yogurt",4
"marinara, mint",1
"marinara, oil",20
"marinara, onion",15
"marinara, pepper",23
"marinara, salt",18
"marinara, yogurt",1
"mint, onion",30
"mint, yogurt",9
"chops, cinnamon",16
"chops, ginger",11
"chops, grill",2
"chops, tarragon",1
"cinnamon, grill",1
"cinnamon, tarragon",1
"ginger, grill",1
"ginger, tarragon",3
"grill, sugar",2
"grill, tarragon",1
"sugar, tarragon",6
"breast, cinnamon",2
"breast, coriander",1
"breast, cumin",13
"breast, flakes",9
"breast, foil",1
"breast, garlic",16
"breast, herb",1
"breast, honey",1
"breast, lemon",3
"breast, paprika",10
"breast, parsley",15
"breast, salt",42
"breast, vinegar",10
"cinnamon, foil",3
"cinnamon, herb",1
"cinnamon, vinegar",28
"coriander, foil",1
"coriander, herb",1
"coriander, parsley",17
"cumin, foil",1
"cumin, herb",1
"flakes, foil",3
"flakes, herb",4
"foil, garlic",12
"foil, herb",1
"foil, honey",4
"foil, paprika",4
"foil, parsley",2
"foil, vinegar",6
"garlic, herb",3
"herb, honey",1
"herb, lemon",2
"herb, oil",11
"herb, paprika",1
"herb, parsley",6
"herb, pepper",8
"herb, salt",7
"herb, vinegar",1
"honey, parsley",15
"lemon, vinegar",27
"cinnamon, juice",68
"cinnamon, onions",32
"cinnamon, ribs",6
"cinnamon, sauce",22
"cinnamon, wine",18
"honey, onions",38
"honey, ribs",5
"juice, ribs",14
"onions, ribs",18
"ribs, sauce",33
"ribs, wine",13
"juice, lamb",10
"juice, root",39
"lamb, root",2
"lamb, sauce",18
"lamb, sugar",5
"butter, extract",88
"butter, whites",9
"extract, flour",112
"extract, milk",76
"extract, oil",60
"extract, salt",102
"extract, sugar",180
"extract, whites",8
"flour, whites",12
"milk, whites",8
"oil, whites",23
"salt, whites",22
"sugar, whites",13
"butter, cilantro",53
"butter, turmeric",32
"cilantro, ginger",52
"cilantro, honey",29
"cream, ginger",24
"cream, honey",13
"cream, masala",3
"cream, paste",13
"cream, turmeric",11
"garlic, paste",69
"ginger, masala",19
"ginger, shoulder",3
"honey, masala",1
"honey, shoulder",5
"masala, shoulder",2
"paste, shoulder",3
"shoulder, turmeric",3
"hanout, honey",1
"hanout, lamb",1
"hanout, salt",2
"hanout, wine",1
"lamb, wine",5
"broth, butternut",12
"broth, leaf",102
"broth, meat",63
"broth, parsnips",5
"butternut, celery",3
"butternut, cloves",13
"butternut, cream",7
"butternut, flour",6
"butternut, leaf",4
"butternut, meat",2
"butternut, oil",36
"butternut, onion",32
"butternut, parsnips",1
"butternut, pepper",39
"butternut, potatoes",6
"butternut, salt",27
"butternut, thyme",5
"butternut, wine",9
"celery, cream",100
"celery, parsnips",3
"cloves, parsnips",1
"cream, parsnips",2
"cream, thyme",55
"flour, parsnips",3
"leaf, meat",20
"leaf, parsnips",1
"meat, parsnips",1
"meat, potatoes",49
"meat, thyme",31
"oil, parsnips",9
"onion, parsnips",6
"parsnips, pepper",10
"parsnips, potatoes",6
"parsnips, salt",6
"parsnips, thyme",3
"parsnips, wine",2
"broth, champagne",1
"broth, giblets",9
"broth, ground",5
"broth, sage",58
"broth, wedges",26
"champagne, giblets",2
"champagne, ground",1
"champagne, leaves",1
"champagne, onion",1
"champagne, sage",1
"champagne, seasoning",1
"champagne, slices",1
"champagne, wedges",1
"giblets, ground",1
"giblets, parsley",4
"giblets, sage",8
"giblets, salt",20
"giblets, seasoning",1
"giblets, slices",1
"giblets, wedges",4
"ground, leaves",1
"ground, onion",14
"ground, parsley",5
"ground, sage",2
"ground, salt",13
"ground, seasoning",2
"ground, slices",1
"ground, wedges",2
"leaves, sage",28
"leaves, wedges",24
"onion, wedges",66
"parsley, sage",39
"parsley, slices",28
"parsley, wedges",29
"sage, seasoning",5
"sage, slices",3
"sage, wedges",3
"salt, wedges",87
"seasoning, slices",10
"seasoning, wedges",11
"slices, wedges",7
"butter, turkey",50
"stock, turkey",11
"apple, beverage",1
"apple, butter",32
"apple, chips",1
"apple, garlic",6
"apple, giblets",3
"apple, onion",63
"apple, pepper",64
"apple, salt",39
"beverage, butter",1
"beverage, chips",1
"beverage, garlic",1
"beverage, giblets",1
"beverage, onion",2
"beverage, pepper",4
"beverage, salt",2
"butter, chips",13
"chips, garlic",7
"chips, giblets",1
"chips, onion",31
"chips, pepper",33
"chips, salt",31
"garlic, giblets",6
"butter, sage",58
"butter, sprigs",10
"carrot, celery",112
"carrot, giblets",1
"carrot, sage",5
"carrot, sprigs",2
"celery, giblets",7
"celery, sage",48
"celery, sprigs",10
"giblets, sprigs",2
"pepper, sprigs",40
"sage, sprigs",6
"bag, celery",1
"bag, flour",2
"bag, onions",1
"bag, pepper",2
"bag, turkey",1
"celery, turkey",46
"flour, turkey",34
"onions, turkey",26
"broth, savory",6
"sage, savory",6
"sage, water",43
"salt, savory",12
"savory, thyme",11
"savory, water",5
"basil, giblets",4
"basil, sage",24
"giblets, oil",10
"turkey, water",64
"butter, legs",5
"legs, salt",11
"legs, thirds",2
"legs, water",10
"thirds, water",9
"butter, dash",2
"butter, skin",20
"dash, flour",2
"dash, garlic",2
"dash, half",3
"dash, paprika",4
"dash, pepper",8
"dash, seasoning",2
"dash, shallot",1
"dash, skin",1
"dash, stock",1
"dash, wine",2
"flour, shallot",9
"flour, skin",8
"garlic, shallot",23
"garlic, skin",14
"half, seasoning",16
"half, skin",2
"half, stock",17
"half, wine",13
"paprika, shallot",7
"paprika, skin",6
"pepper, skin",50
"seasoning, shallot",4
"seasoning, skin",1
"seasoning, wine",22
"shallot, skin",2
"shallot, stock",11
"shallot, wine",26
"skin, stock",9
"skin, wine",9
"almonds, cloves",9
"almonds, cream",13
"almonds, linguine",1
"almonds, mushrooms",14
"almonds, seasoning",1
"almonds, soup",6
"almonds, turkey",5
"almonds, wine",3
"broth, linguine",3
"broth, turkey",46
"butter, linguine",5
"celery, linguine",1
"cheese, linguine",6
"cheese, seasoning",167
"cheese, turkey",92
"cloves, linguine",4
"cloves, turkey",47
"cream, linguine",1
"cream, turkey",26
"linguine, mushrooms",3
"linguine, onion",5
"linguine, pepper",10
"linguine, seasoning",1
"linguine, soup",1
"linguine, turkey",1
"linguine, wine",6
"seasoning, soup",9
"soup, turkey",20
"turkey, wine",11
"beans, cumin",221
"beans, garlic",182
"beans, oil",463
"beans, onion",551
"beans, paprika",55
"beans, pepper",599
"beans, salt",366
"beans, tomatoes",240
"beans, turkey",46
"beans, water",293
"cumin, tomatoes",175
"cumin, turkey",44
"garlic, turkey",61
"paprika, tomatoes",83
"paprika, turkey",17
"salt, turkey",123
"barley, basil",4
"barley, cabbage",5
"barley, carcass",1
"barley, carrots",22
"barley, celery",19
"barley, leaf",8
"barley, onion",32
"barley, paprika",2
"barley, parsley",12
"barley, pepper",29
"barley, potatoes",8
"barley, poultry",2
"barley, salt",20
"barley, sauce",3
"barley, thyme",9
"barley, tomatoes",8
"barley, water",19
"basil, cabbage",18
"basil, carcass",2
"basil, leaf",28
"basil, poultry",3
"cabbage, carcass",1
"cabbage, leaf",10
"cabbage, poultry",1
"cabbage, thyme",11
"cabbage, tomatoes",44
"carcass, carrots",6
"carcass, celery",8
"carcass, leaf",4
"carcass, onion",10
"carcass, paprika",2
"carcass, parsley",3
"carcass, pepper",11
"carcass, potatoes",2
"carcass, poultry",2
"carcass, salt",6
"carcass, sauce",4
"carcass, thyme",5
"carcass, tomatoes",2
"carcass, water",8
"leaf, paprika",32
"leaf, poultry",1
"leaf, sauce",35
"leaf, tomatoes",52
"paprika, poultry",7
"parsley, poultry",13
"potatoes, tomatoes",108
"poultry, sauce",5
"poultry, thyme",12
"poultry, tomatoes",1
"beans, broth",224
"beans, butter",93
"beans, carrots",116
"beans, celery",132
"beans, crust",1
"beans, flour",44
"beans, milk",40
"beans, seasoning",45
"beans, seed",15
"broth, crust",3
"broth, milk",163
"broth, seed",19
"butter, crust",25
"butter, seed",20
"carrots, crust",5
"carrots, seasoning",36
"carrots, seed",16
"carrots, turkey",32
"celery, crust",5
"celery, seed",18
"crust, flour",15
"crust, milk",24
"crust, onion",23
"crust, pepper",27
"crust, salt",23
"crust, seasoning",1
"crust, seed",1
"crust, turkey",6
"flour, seed",14
"milk, seed",12
"milk, turkey",37
"onion, seed",59
"seasoning, seed",4
"seed, turkey",3
"crumbs, turkey",52
"crumbs, whites",8
"garlic, whites",9
"onion, whites",14
"parsley, turkey",44
"parsley, whites",9
"pepper, whites",28
"turkey, whites",3
"carcass, carrot",3
"carcass, half",2
"carcass, peppercorns",1
"carrot, half",10
"carrot, leaf",20
"carrot, peppercorns",6
"carrot, thyme",34
"carrot, water",118
"half, peppercorns",3
"half, thyme",16
"onion, peppercorns",35
"peppercorns, thyme",14
"mayonnaise, mustard",136
"mayonnaise, onions",77
"mayonnaise, sugar",80
"mayonnaise, vinegar",90
"meat, mustard",8
"meat, onions",36
"meat, sugar",25
"meat, vinegar",13
"mustard, onions",52
"onions, vinegar",157
"almonds, carrots",8
"almonds, flour",11
"almonds, half",5
"carrots, half",23
"carrots, rice",98
"celery, half",19
"celery, rice",99
"flour, rice",40
"half, rice",13
"half, turkey",4
